# Athena++ data at time=2.500000e-01  cycle=350  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0057 -3.91602e-01  1.00000e+00  1.00000e+00 -7.78812e-22  0.00000e+00  0.00000e+00
0058 -3.89648e-01  1.00000e+00  1.00000e+00 -8.33355e-22  0.00000e+00  0.00000e+00
0059 -3.87695e-01  1.00000e+00  1.00000e+00 -9.72826e-22  0.00000e+00  0.00000e+00
0060 -3.85742e-01  1.00000e+00  1.00000e+00 -7.76102e-22  0.00000e+00  0.00000e+00
0061 -3.83789e-01  1.00000e+00  1.00000e+00 -8.83495e-22  0.00000e+00  0.00000e+00
0062 -3.81836e-01  1.00000e+00  1.00000e+00  8.10220e-17  0.00000e+00  0.00000e+00
0063 -3.79883e-01  1.00000e+00  1.00000e+00 -7.71603e-22  0.00000e+00  0.00000e+00
0064 -3.77930e-01  1.00000e+00  1.00000e+00  8.10219e-17  0.00000e+00  0.00000e+00
0065 -3.75977e-01  1.00000e+00  1.00000e+00 -1.11979e-21  0.00000e+00  0.00000e+00
0066 -3.74023e-01  1.00000e+00  1.00000e+00  8.10220e-17  0.00000e+00  0.00000e+00
0067 -3.72070e-01  1.00000e+00  1.00000e+00  7.81974e-17  0.00000e+00  0.00000e+00
0068 -3.70117e-01  1.00000e+00  1.00000e+00  8.10215e-17  0.00000e+00  0.00000e+00
0069 -3.68164e-01  1.00000e+00  1.00000e+00  8.10219e-17  0.00000e+00  0.00000e+00
0070 -3.66211e-01  1.00000e+00  1.00000e+00  2.82266e-18  0.00000e+00  0.00000e+00
0071 -3.64258e-01  1.00000e+00  1.00000e+00  8.10212e-17  0.00000e+00  0.00000e+00
0072 -3.62305e-01  1.00000e+00  1.00000e+00  7.81967e-17  0.00000e+00  0.00000e+00
0073 -3.60352e-01  1.00000e+00  1.00000e+00  2.82254e-18  0.00000e+00  0.00000e+00
0074 -3.58398e-01  1.00000e+00  1.00000e+00  1.59219e-16  0.00000e+00  0.00000e+00
0075 -3.56445e-01  1.00000e+00  1.00000e+00  4.05095e-17  0.00000e+00  0.00000e+00
0076 -3.54492e-01  1.00000e+00  1.00000e+00  4.19209e-17  0.00000e+00  0.00000e+00
0077 -3.52539e-01  1.00000e+00  1.00000e+00  5.97785e-16  0.00000e+00  0.00000e+00
0078 -3.50586e-01  1.00000e+00  1.00000e+00  2.15373e-15  0.00000e+00  0.00000e+00
0079 -3.48633e-01  1.00000e+00  1.00000e+00  9.19858e-15  0.00000e+00  0.00000e+00
0080 -3.46680e-01  1.00000e+00  1.00000e+00  4.11409e-14  0.00000e+00  0.00000e+00
0081 -3.44727e-01  1.00000e+00  1.00000e+00  1.80291e-13  0.00000e+00  0.00000e+00
0082 -3.42773e-01  1.00000e+00  1.00000e+00  7.69966e-13  0.00000e+00  0.00000e+00
0083 -3.40820e-01  1.00000e+00  1.00000e+00  3.21639e-12  0.00000e+00  0.00000e+00
0084 -3.38867e-01  1.00000e+00  1.00000e+00  1.31082e-11  0.00000e+00  0.00000e+00
0085 -3.36914e-01  1.00000e+00  1.00000e+00  5.20474e-11  0.00000e+00  0.00000e+00
