# Athena++ data at time=2.500000e-01  cycle=701  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002 -4.99512e-01  1.00000e+00  1.00000e+00  2.28734e-17  0.00000e+00  0.00000e+00
0003 -4.98535e-01  1.00000e+00  1.00000e+00 -4.22212e-22  0.00000e+00  0.00000e+00
0004 -4.97559e-01  1.00000e+00  1.00000e+00 -4.00842e-22  0.00000e+00  0.00000e+00
0005 -4.96582e-01  1.00000e+00  1.00000e+00 -3.70147e-22  0.00000e+00  0.00000e+00
0006 -4.95605e-01  1.00000e+00  1.00000e+00 -4.30255e-22  0.00000e+00  0.00000e+00
0007 -4.94629e-01  1.00000e+00  1.00000e+00 -3.92358e-22  0.00000e+00  0.00000e+00
0008 -4.93652e-01  1.00000e+00  1.00000e+00 -3.70784e-22  0.00000e+00  0.00000e+00
0009 -4.92676e-01  1.00000e+00  1.00000e+00 -4.34185e-22  0.00000e+00  0.00000e+00
0010 -4.91699e-01  1.00000e+00  1.00000e+00 -3.86132e-22  0.00000e+00  0.00000e+00
0011 -4.90723e-01  1.00000e+00  1.00000e+00 -3.71266e-22  0.00000e+00  0.00000e+00
0012 -4.89746e-01  1.00000e+00  1.00000e+00 -4.37937e-22  0.00000e+00  0.00000e+00
0013 -4.88770e-01  1.00000e+00  1.00000e+00 -3.81491e-22  0.00000e+00  0.00000e+00
0014 -4.87793e-01  1.00000e+00  1.00000e+00 -3.86048e-22  0.00000e+00  0.00000e+00
0015 -4.86816e-01  1.00000e+00  1.00000e+00 -4.43048e-22  0.00000e+00  0.00000e+00
0016 -4.85840e-01  1.00000e+00  1.00000e+00 -3.78041e-22  0.00000e+00  0.00000e+00
0017 -4.84863e-01  1.00000e+00  1.00000e+00 -4.09545e-22  0.00000e+00  0.00000e+00
0018 -4.83887e-01  1.00000e+00  1.00000e+00 -4.44834e-22  0.00000e+00  0.00000e+00
0019 -4.82910e-01  1.00000e+00  1.00000e+00 -3.78958e-22  0.00000e+00  0.00000e+00
0020 -4.81934e-01  1.00000e+00  1.00000e+00 -4.33556e-22  0.00000e+00  0.00000e+00
0021 -4.80957e-01  1.00000e+00  1.00000e+00 -4.46105e-22  0.00000e+00  0.00000e+00
0022 -4.79980e-01  1.00000e+00  1.00000e+00 -3.82267e-22  0.00000e+00  0.00000e+00
0023 -4.79004e-01  1.00000e+00  1.00000e+00 -4.43719e-22  0.00000e+00  0.00000e+00
