# Athena++ data at time=2.500000e-01  cycle=43  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002 -4.92188e-01  1.00000e+00  1.00000e+00  2.58875e-11  0.00000e+00  0.00000e+00
0003 -4.76562e-01  1.00000e+00  1.00000e+00  5.47715e-10  0.00000e+00  0.00000e+00
0004 -4.60938e-01  1.00000e+00  1.00000e+00  5.51730e-09  0.00000e+00  0.00000e+00
0005 -4.45312e-01  1.00000e+00  1.00000e+00  4.97007e-08  0.00000e+00  0.00000e+00
0006 -4.29688e-01  1.00000e+00  1.00000e+00  3.96349e-07  0.00000e+00  0.00000e+00
0007 -4.14062e-01  9.99998e-01  9.99997e-01  2.77933e-06  0.00000e+00  0.00000e+00
0008 -3.98438e-01  9.99986e-01  9.99980e-01  1.69891e-05  0.00000e+00  0.00000e+00
0009 -3.82812e-01  9.99924e-01  9.99894e-01  8.95747e-05  0.00000e+00  0.00000e+00
0010 -3.67188e-01  9.99660e-01  9.99524e-01  4.02538e-04  0.00000e+00  0.00000e+00
0011 -3.51562e-01  9.98713e-01  9.98198e-01  1.52368e-03  0.00000e+00  0.00000e+00
0012 -3.35938e-01  9.95937e-01  9.94317e-01  4.81411e-03  0.00000e+00  0.00000e+00
0013 -3.20312e-01  9.89338e-01  9.85111e-01  1.26633e-02  0.00000e+00  0.00000e+00
0014 -3.04688e-01  9.76613e-01  9.67428e-01  2.79232e-02  0.00000e+00  0.00000e+00
0015 -2.89062e-01  9.56409e-01  9.39541e-01  5.24963e-02  0.00000e+00  0.00000e+00
0016 -2.73438e-01  9.29223e-01  9.02384e-01  8.62437e-02  0.00000e+00  0.00000e+00
0017 -2.57812e-01  8.97000e-01  8.58891e-01  1.27296e-01  0.00000e+00  0.00000e+00
0018 -2.42188e-01  8.61977e-01  8.12314e-01  1.73275e-01  0.00000e+00  0.00000e+00
0019 -2.26562e-01  8.25891e-01  7.65104e-01  2.22235e-01  0.00000e+00  0.00000e+00
0020 -2.10938e-01  7.89829e-01  7.18739e-01  2.72898e-01  0.00000e+00  0.00000e+00
0021 -1.95312e-01  7.54398e-01  6.73999e-01  3.24507e-01  0.00000e+00  0.00000e+00
0022 -1.79688e-01  7.19923e-01  6.31267e-01  3.76617e-01  0.00000e+00  0.00000e+00
0023 -1.64062e-01  6.86579e-01  5.90708e-01  4.28949e-01  0.00000e+00  0.00000e+00
0024 -1.48438e-01  6.54461e-01  5.52379e-01  4.81317e-01  0.00000e+00  0.00000e+00
0025 -1.32812e-01  6.23616e-01  5.16271e-01  5.33579e-01  0.00000e+00  0.00000e+00
0026 -1.17188e-01  5.94067e-01  4.82343e-01  5.85623e-01  0.00000e+00  0.00000e+00
0027 -1.01562e-01  5.65821e-01  4.50539e-01  6.37341e-01  0.00000e+00  0.00000e+00
0028 -8.59375e-02  5.38892e-01  4.20805e-01  6.88604e-01  0.00000e+00  0.00000e+00
0029 -7.03125e-02  5.13334e-01  3.93117e-01  7.39208e-01  0.00000e+00  0.00000e+00
0030 -5.46875e-02  4.89240e-01  3.67544e-01  7.88728e-01  0.00000e+00  0.00000e+00
0031 -3.90625e-02  4.66982e-01  3.44395e-01  8.36164e-01  0.00000e+00  0.00000e+00
0032 -2.34375e-02  4.47918e-01  3.24527e-01  8.79001e-01  0.00000e+00  0.00000e+00
0033 -7.81250e-03  4.32452e-01  3.09963e-01  9.11953e-01  0.00000e+00  0.00000e+00
0034  7.81250e-03  4.26766e-01  3.02996e-01  9.27773e-01  0.00000e+00  0.00000e+00
0035  2.34375e-02  4.25716e-01  3.02301e-01  9.29753e-01  0.00000e+00  0.00000e+00
0036  3.90625e-02  4.26410e-01  3.03016e-01  9.27924e-01  0.00000e+00  0.00000e+00
0037  5.46875e-02  4.25488e-01  3.02367e-01  9.29546e-01  0.00000e+00  0.00000e+00
0038  7.03125e-02  4.25571e-01  3.02780e-01  9.28546e-01  0.00000e+00  0.00000e+00
0039  8.59375e-02  4.25106e-01  3.02600e-01  9.29013e-01  0.00000e+00  0.00000e+00
0040  1.01562e-01  4.25098e-01  3.02781e-01  9.28555e-01  0.00000e+00  0.00000e+00
0041  1.17188e-01  4.25261e-01  3.02800e-01  9.28557e-01  0.00000e+00  0.00000e+00
0042  1.32812e-01  4.26375e-01  3.02890e-01  9.28352e-01  0.00000e+00  0.00000e+00
0043  1.48438e-01  4.27268e-01  3.02935e-01  9.28282e-01  0.00000e+00  0.00000e+00
0044  1.64062e-01  4.27132e-01  3.02983e-01  9.28182e-01  0.00000e+00  0.00000e+00
0045  1.79688e-01  4.25306e-01  3.03024e-01  9.28137e-01  0.00000e+00  0.00000e+00
0046  1.95312e-01  4.16217e-01  3.03063e-01  9.28103e-01  0.00000e+00  0.00000e+00
0047  2.10938e-01  3.91626e-01  3.03105e-01  9.28108e-01  0.00000e+00  0.00000e+00
0048  2.26562e-01  3.50114e-01  3.03136e-01  9.28118e-01  0.00000e+00  0.00000e+00
0049  2.42188e-01  3.06333e-01  3.03164e-01  9.28140e-01  0.00000e+00  0.00000e+00
0050  2.57812e-01  2.77658e-01  3.03184e-01  9.28163e-01  0.00000e+00  0.00000e+00
0051  2.73438e-01  2.65989e-01  3.03201e-01  9.28188e-01  0.00000e+00  0.00000e+00
0052  2.89062e-01  2.63264e-01  3.03217e-01  9.28200e-01  0.00000e+00  0.00000e+00
0053  3.04688e-01  2.63138e-01  3.03226e-01  9.28214e-01  0.00000e+00  0.00000e+00
0054  3.20312e-01  2.63365e-01  3.03237e-01  9.28221e-01  0.00000e+00  0.00000e+00
0055  3.35938e-01  2.64233e-01  3.03259e-01  9.28258e-01  0.00000e+00  0.00000e+00
0056  3.51562e-01  2.65160e-01  3.03365e-01  9.28562e-01  0.00000e+00  0.00000e+00
0057  3.67188e-01  2.65702e-01  3.03714e-01  9.29568e-01  0.00000e+00  0.00000e+00
0058  3.82812e-01  2.65946e-01  3.03953e-01  9.30268e-01  0.00000e+00  0.00000e+00
0059  3.98438e-01  2.65924e-01  3.03904e-01  9.30108e-01  0.00000e+00  0.00000e+00
0060  4.14062e-01  2.63518e-01  3.00073e-01  9.18490e-01  0.00000e+00  0.00000e+00
0061  4.29688e-01  2.37043e-01  2.58786e-01  7.83623e-01  0.00000e+00  0.00000e+00
0062  4.45312e-01  1.72610e-01  1.62741e-01  3.83959e-01  0.00000e+00  0.00000e+00
0063  4.60938e-01  1.32136e-01  1.08332e-01  6.08484e-02  0.00000e+00  0.00000e+00
0064  4.76562e-01  1.25342e-01  1.00383e-01  2.89213e-03  0.00000e+00  0.00000e+00
0065  4.92188e-01  1.25005e-01  1.00006e-01  4.50613e-05  0.00000e+00  0.00000e+00
